Setting,Value
animation,True
animation_delay,0.001
timestep,0.1
iterations,1000
map_size,10
external_force_magnitude,0
fidelity,100
target_setting,ON
target_speed,10
seeker_population,0
seeker_speed,4
seeker_com_radius,5
seeker_battery,47520
seeker_gps_accuracy,1
seeker_sensor_accuracy,3
seeker_memory_duration,1
explorer_population,0
explorer_speed,2
explorer_com_radius,10
explorer_battery,47520
explorer_gps_accuracy,1
explorer_sensor_accuracy,1
explorer_memory_duration,5
isocontour_population,20
iso_speed,10
iso_com_radius,5
iso_battery,47520
iso_gps_accuracy,1
iso_sensor_accuracy,1
iso_memory_duration,1
isocontour_goal,-80
isocontour_threshold,3
